"final4$participantID","participantID","Julie_participants$participantID","notes"
8,8,8,"IDs in both datasets"
9,9,9,"No RR PRE session data, so they were excluded from original analyses anyways"
10,10,10,"IDs in both datasets"
11,11,11,"No RR PRE session data, so they were excluded from original analyses anyways"
12,12,12,"No RR PRE session data, so they were excluded from original analyses anyways"
13,13,NA,NA
14,14,14,"No RR PRE session data, so they were excluded from original analyses anyways"
15,15,15,"IDs in both datasets"
16,16,16,"IDs in both datasets"
17,17,17,"No RR PRE session data, so they were excluded from original analyses anyways"
18,18,18,"IDs in both datasets"
19,19,19,"IDs in both datasets"
421,421,421,"No RR PRE session data, so they were excluded from original analyses anyways"
422,422,NA,NA
423,423,423,"IDs in both datasets"
424,424,424,"IDs in both datasets"
425,425,425,"No RR PRE session data, so they were excluded from original analyses anyways"
426,426,426,"IDs in both datasets"
428,428,NA,NA
429,429,429,"IDs in both datasets"
430,430,430,"IDs in both datasets"
431,431,431,"IDs in both datasets"
432,432,432,"IDs in both datasets"
433,433,433,"IDs in both datasets"
434,434,434,"No RR PRE session data, so they were excluded from original analyses anyways"
435,435,435,"IDs in both datasets"
438,438,NA,NA
440,440,NA,NA
442,442,442,"IDs in both datasets"
444,444,444,"IDs in both datasets"
445,445,445,"IDs in both datasets"
446,446,446,"IDs in both datasets"
449,449,449,"IDs in both datasets"
452,452,452,"IDs in both datasets"
453,453,453,"IDs in both datasets"
454,454,454,"IDs in both datasets"
455,455,NA,NA
456,456,NA,NA
457,457,457,"IDs in both datasets"
460,460,460,"IDs in both datasets"
461,461,461,"IDs in both datasets"
462,462,462,"IDs in both datasets"
465,465,465,"IDs in both datasets"
467,467,NA,NA
470,470,470,"IDs in both datasets"
471,471,471,"IDs in both datasets"
474,474,NA,NA
475,475,475,"IDs in both datasets"
476,476,476,"IDs in both datasets"
477,477,477,"IDs in both datasets"
478,478,478,"IDs in both datasets"
480,480,480,"IDs in both datasets"
481,481,NA,NA
483,483,483,"IDs in both datasets"
485,485,485,"IDs in both datasets"
487,487,NA,NA
489,489,489,"IDs in both datasets"
491,491,491,"No RR PRE session data, so they were excluded from original analyses anyways"
492,492,492,"IDs in both datasets"
496,496,496,"IDs in both datasets"
502,502,502,"IDs in both datasets"
503,503,503,"No RR PRE session data, so they were excluded from original analyses anyways"
504,504,504,"IDs in both datasets"
505,505,505,"IDs in both datasets"
506,506,506,"IDs in both datasets"
507,507,507,"IDs in both datasets"
508,508,508,"IDs in both datasets"
509,509,509,"IDs in both datasets"
510,510,NA,NA
512,512,512,"IDs in both datasets"
513,513,513,"IDs in both datasets"
514,514,514,"IDs in both datasets"
515,515,515,"IDs in both datasets"
516,516,516,"IDs in both datasets"
520,520,520,"IDs in both datasets"
522,522,522,"IDs in both datasets"
523,523,523,"IDs in both datasets"
524,524,524,"IDs in both datasets"
525,525,525,"IDs in both datasets"
526,526,526,"IDs in both datasets"
529,529,529,"IDs in both datasets"
531,531,531,"IDs in both datasets"
532,532,532,"Originally thought to have no RR PRE data, but does"
537,537,537,"IDs in both datasets"
539,539,539,"IDs in both datasets"
541,541,541,"IDs in both datasets"
543,543,543,"IDs in both datasets"
544,544,NA,NA
545,545,545,"IDs in both datasets"
546,546,546,"IDs in both datasets"
547,547,547,"IDs in both datasets"
549,549,549,"IDs in both datasets"
550,550,550,"IDs in both datasets"
551,551,551,"IDs in both datasets"
552,552,552,"IDs in both datasets"
555,555,555,"IDs in both datasets"
557,557,557,"IDs in both datasets"
561,561,561,"IDs in both datasets"
562,562,562,"IDs in both datasets"
563,563,NA,NA
564,564,564,"IDs in both datasets"
566,566,566,"IDs in both datasets"
569,569,569,"IDs in both datasets"
570,570,570,"IDs in both datasets"
571,571,571,"IDs in both datasets"
572,572,572,"IDs in both datasets"
574,574,574,"IDs in both datasets"
575,575,575,"IDs in both datasets"
576,576,NA,NA
577,577,NA,NA
579,579,579,"IDs in both datasets"
580,580,580,"IDs in both datasets"
581,581,NA,NA
582,582,582,"IDs in both datasets"
583,583,583,"IDs in both datasets"
584,584,584,"IDs in both datasets"
585,585,585,"IDs in both datasets"
587,587,587,"IDs in both datasets"
590,590,590,"IDs in both datasets"
591,591,591,"IDs in both datasets"
594,594,594,"IDs in both datasets"
595,595,595,"IDs in both datasets"
597,597,597,"IDs in both datasets"
598,598,598,"No RR PRE session data, so they were excluded from original analyses anyways"
600,600,600,"IDs in both datasets"
605,605,605,"IDs in both datasets"
609,609,NA,NA
611,611,611,"IDs in both datasets"
612,612,612,"IDs in both datasets"
615,615,615,"IDs in both datasets"
617,617,617,"IDs in both datasets"
620,620,NA,NA
621,621,621,"IDs in both datasets"
623,623,623,"IDs in both datasets"
625,625,625,"IDs in both datasets"
627,627,627,"IDs in both datasets"
638,638,NA,NA
640,640,NA,NA
641,641,NA,NA
642,642,642,"IDs in both datasets"
643,643,NA,NA
644,644,644,"IDs in both datasets"
645,645,645,"IDs in both datasets"
647,647,647,"IDs in both datasets"
649,649,NA,NA
650,650,NA,NA
652,652,652,"IDs in both datasets"
654,654,654,"IDs in both datasets"
655,655,655,"IDs in both datasets"
657,657,657,"IDs in both datasets"
658,658,658,"IDs in both datasets"
659,659,659,"IDs in both datasets"
662,662,662,"IDs in both datasets"
663,663,663,"IDs in both datasets"
664,664,NA,NA
665,665,NA,NA
666,666,NA,NA
668,668,668,"IDs in both datasets"
669,669,669,"IDs in both datasets"
670,670,670,"IDs in both datasets"
671,671,671,"IDs in both datasets"
674,674,674,"IDs in both datasets"
676,676,NA,NA
678,678,678,"IDs in both datasets"
679,679,679,"IDs in both datasets"
682,682,682,"IDs in both datasets"
683,683,683,"IDs in both datasets"
684,684,684,"IDs in both datasets"
685,685,NA,NA
686,686,686,"IDs in both datasets"
687,687,687,"IDs in both datasets"
691,691,691,"IDs in both datasets"
694,694,NA,NA
695,695,695,"IDs in both datasets"
696,696,696,"IDs in both datasets"
708,708,708,"IDs in both datasets"
709,709,709,"IDs in both datasets"
710,710,710,"IDs in both datasets"
712,712,712,"IDs in both datasets"
713,713,713,"IDs in both datasets"
714,714,714,"IDs in both datasets"
715,715,715,"IDs in both datasets"
716,716,716,"IDs in both datasets"
719,719,719,"IDs in both datasets"
